id,nama,kategori,stok,harga,status
PRD-02668,Prime Gadget,Minuman,251,26000.00,active
PRD-02669,Mega Monitor,Elektronik,136,3826000.00,active
PRD-06750,Diamond Device,Pakaian,224,233000.00,active
PRD-06751,Royal Set,Peralatan,900,1822000.00,active
PRD-06752,Digital Gadget,Makanan,221,28000.00,active
PRD-06753,Pro Monitor,Peralatan,15,790000.00,active
PRD-06754,Mini Ball,Peralatan,632,1218000.00,active
PRD-06755,Silver Tube,Minuman,170,27000.00,active
PRD-06756,Classic Drink,Minuman,88,39000.00,active
PRD-06757,Pro Bag,Elektronik,313,6892000.00,active
PRD-06758,Ultra Charger,Pakaian,975,163000.00,active
PRD-06759,Super Charger,Peralatan,825,1957000.00,active
PRD-02670,Silver Glove,Pakaian,35,240000.00,active
PRD-02671,Royal Shirt,Peralatan,831,765000.00,active
PRD-02672,Smart Mouse,Olahraga,142,2090000.00,active
PRD-02673,Diamond Cup,Pakaian,504,429000.00,active
PRD-02674,Eco Gadget,Peralatan,42,1842000.00,active
PRD-02675,Ultra Pants,Peralatan,612,639000.00,active
PRD-02676,Fresh Racket,Elektronik,552,6420000.00,active
PRD-02677,Pro Drink,Peralatan,977,2162000.00,active
PRD-02678,Mini Jacket,Minuman,634,28000.00,active
PRD-02679,Premium Gadget,Minuman,236,37000.00,active
PRD-06760,Fresh Kit,Minuman,607,5000.00,active
PRD-06761,Eco Mat,Minuman,329,37000.00,active
PRD-06762,Golden Mat,Elektronik,123,8716000.00,active
PRD-01600,Eco Snack,Pakaian,400,413000.00,active
PRD-06763,Diamond Bottle,Pakaian,971,239000.00,active
PRD-01601,Natural Ball,Minuman,903,11000.00,active
PRD-06764,Royal Rice,Pakaian,0,170000.00,out_of_stock
PRD-01602,Ultra Keyboard,Pakaian,282,119000.00,active
PRD-06765,Digital Mat,Minuman,482,42000.00,active
PRD-01603,Mini Jacket,Pakaian,276,374000.00,active
PRD-06766,Digital Cup,Peralatan,905,1220000.00,active
PRD-01604,Smart Drink,Elektronik,0,9683000.00,out_of_stock
PRD-06767,Royal Mat,Makanan,253,88000.00,active
PRD-01605,Premium Jacket,Elektronik,15,3329000.00,active
PRD-06768,Golden Case,Pakaian,386,345000.00,active
PRD-01606,Golden Cable,Elektronik,202,9275000.00,active
PRD-06769,Digital Cup,Elektronik,742,1930000.00,active
PRD-01607,Premium Widget,Makanan,548,17000.00,active
PRD-01608,Premium Device,Makanan,881,30000.00,active
PRD-01609,Max Shirt,Minuman,116,5000.00,active
PRD-02680,Ultra Jar,Peralatan,86,932000.00,active
PRD-02681,Mega Drink,Olahraga,411,486000.00,active
PRD-02682,Super Jacket,Minuman,81,39000.00,active
PRD-02683,Golden Rice,Makanan,644,66000.00,active
PRD-02684,Smart Speaker,Pakaian,307,426000.00,active
PRD-02685,Premium Tool,Minuman,321,41000.00,active
PRD-02686,Original Bag,Pakaian,541,317000.00,active
PRD-02687,Classic Mouse,Minuman,21,45000.00,active
PRD-02688,Classic Kit,Minuman,844,24000.00,active
PRD-02689,Original Mat,Elektronik,319,6680000.00,discontinued
PRD-06770,Super Kit,Elektronik,519,2715000.00,active
PRD-06771,Elite Drink,Peralatan,331,1136000.00,active
PRD-06772,Max Glove,Peralatan,930,552000.00,active
PRD-01610,Super Jar,Pakaian,0,327000.00,out_of_stock
PRD-06773,Prime Rice,Peralatan,427,836000.00,active
PRD-01611,Diamond Device,Peralatan,0,606000.00,out_of_stock
PRD-06774,Mini Ball,Elektronik,218,7385000.00,active
PRD-01612,Prime Tool,Olahraga,836,830000.00,active
PRD-06775,Diamond Keyboard,Minuman,0,24000.00,out_of_stock
PRD-01613,Classic Mat,Minuman,692,20000.00,active
PRD-06776,Max Cup,Minuman,790,6000.00,active
PRD-01614,Diamond Jacket,Minuman,502,45000.00,active
PRD-06777,Max Box,Pakaian,247,317000.00,active
PRD-01615,Royal Cable,Peralatan,358,1365000.00,active
PRD-06778,Mega Bag,Elektronik,0,5372000.00,out_of_stock
PRD-01616,Silver Tool,Elektronik,392,6663000.00,active
PRD-06779,Golden Cable,Makanan,218,92000.00,discontinued
PRD-01617,Classic Gadget,Pakaian,806,235000.00,active
PRD-01618,Eco Cable,Pakaian,0,325000.00,out_of_stock
PRD-01619,Fresh Set,Elektronik,775,1731000.00,active
PRD-05700,Elite Speaker,Makanan,639,89000.00,active
PRD-05701,Diamond Pack,Elektronik,728,2650000.00,active
PRD-05702,Golden Cable,Pakaian,424,318000.00,active
PRD-05703,Natural Ball,Olahraga,963,1931000.00,active
PRD-05704,Max Jacket,Makanan,393,29000.00,active
PRD-05705,Max Jar,Pakaian,631,354000.00,discontinued
PRD-05706,Smart Keyboard,Pakaian,686,194000.00,active
PRD-05707,Original Pack,Peralatan,731,213000.00,active
PRD-02690,Digital Pack,Minuman,684,7000.00,active
PRD-05708,Smart Cup,Peralatan,526,2065000.00,active
PRD-02691,Classic Shirt,Minuman,98,28000.00,active
PRD-05709,Natural Charger,Olahraga,38,1772000.00,active
PRD-02692,Mini Mouse,Minuman,0,49000.00,out_of_stock
PRD-02693,Mini Shirt,Elektronik,466,9362000.00,active
PRD-02694,Pro Cup,Peralatan,673,673000.00,active
PRD-02695,Super Gadget,Makanan,818,36000.00,active
PRD-02696,Diamond Bag,Pakaian,833,275000.00,active
PRD-02697,Max Speaker,Minuman,618,43000.00,active
PRD-02698,Classic Glove,Elektronik,492,5235000.00,active
PRD-02699,Pro Gadget,Minuman,988,32000.00,active
PRD-06780,Golden Case,Olahraga,286,1237000.00,active
PRD-06781,Elite Bag,Pakaian,134,425000.00,active
PRD-06782,Digital Widget,Peralatan,416,1653000.00,active
PRD-01620,Prime Speaker,Peralatan,690,644000.00,active
PRD-06783,Digital Shirt,Makanan,834,54000.00,active
PRD-01621,Fresh Rice,Minuman,173,25000.00,active
PRD-06784,Classic Charger,Peralatan,138,754000.00,active
PRD-01622,Smart Tube,Olahraga,859,3127000.00,active
PRD-06785,Silver Rice,Pakaian,923,254000.00,active
PRD-01623,Diamond Snack,Olahraga,647,958000.00,discontinued
PRD-06786,Classic Jacket,Minuman,306,45000.00,active
PRD-01624,Natural Tube,Elektronik,765,3995000.00,active
PRD-06787,Super Case,Peralatan,0,1420000.00,out_of_stock
PRD-01625,Max Tool,Peralatan,21,1668000.00,active
PRD-06788,Max Device,Olahraga,908,2153000.00,active
PRD-01626,Natural Bottle,Olahraga,0,656000.00,out_of_stock
PRD-06789,Digital Charger,Pakaian,121,453000.00,active
PRD-01627,Eco Pack,Peralatan,372,377000.00,active
PRD-01628,Super Drink,Olahraga,402,3079000.00,active
PRD-01629,Classic Jar,Peralatan,295,1781000.00,active
PRD-05710,Elite Cup,Minuman,175,10000.00,active
PRD-05711,Mega Snack,Olahraga,0,3169000.00,out_of_stock
PRD-05712,Mega Ball,Pakaian,159,128000.00,active
PRD-05713,Smart Rice,Peralatan,768,2046000.00,active
PRD-05714,Classic Drink,Elektronik,468,3093000.00,active
PRD-05715,Original Racket,Peralatan,586,303000.00,active
PRD-05716,Max Monitor,Makanan,0,45000.00,out_of_stock
PRD-05717,Eco Pants,Pakaian,310,265000.00,discontinued
PRD-05718,Elite Monitor,Minuman,667,11000.00,active
PRD-05719,Super Drink,Pakaian,745,249000.00,active
PRD-09800,Eco Gadget,Makanan,814,43000.00,active
PRD-09801,Pro Jar,Peralatan,396,1936000.00,active
PRD-09802,Prime Mat,Peralatan,967,206000.00,active
PRD-09803,Royal Racket,Makanan,0,91000.00,out_of_stock
PRD-09804,Premium Cable,Makanan,168,94000.00,active
PRD-09805,Diamond Cable,Makanan,238,65000.00,active
PRD-09806,Royal Cup,Peralatan,432,2146000.00,active
PRD-09807,Golden Kit,Elektronik,889,3178000.00,active
PRD-06790,Prime Keyboard,Peralatan,501,810000.00,active
PRD-09808,Ultra Box,Peralatan,369,2037000.00,active
PRD-06791,Original Jar,Minuman,979,10000.00,active
PRD-09809,Fresh Gadget,Elektronik,452,3535000.00,active
PRD-06792,Super Racket,Pakaian,511,92000.00,active
PRD-01630,Eco Device,Elektronik,0,6155000.00,out_of_stock
PRD-06793,Pro Monitor,Elektronik,264,1838000.00,active
PRD-01631,Premium Racket,Makanan,293,36000.00,active
PRD-06794,Royal Pack,Peralatan,942,360000.00,active
PRD-01632,Silver Drink,Elektronik,677,1348000.00,active
PRD-06795,Ultra Glove,Elektronik,42,7672000.00,active
PRD-01633,Golden Charger,Pakaian,101,105000.00,active
PRD-06796,Pro Bottle,Olahraga,992,2937000.00,active
PRD-01634,Golden Gadget,Peralatan,747,1237000.00,active
PRD-06797,Natural Tube,Elektronik,910,8728000.00,active
PRD-01635,Mega Gadget,Elektronik,66,4688000.00,active
PRD-06798,Super Snack,Elektronik,0,7402000.00,out_of_stock
PRD-01636,Diamond Tool,Makanan,692,62000.00,active
PRD-06799,Ultra Keyboard,Elektronik,769,3210000.00,active
PRD-01637,Max Case,Pakaian,701,208000.00,active
PRD-01638,Eco Pack,Elektronik,184,1786000.00,active
PRD-01639,Prime Keyboard,Minuman,0,21000.00,out_of_stock
PRD-05720,Golden Case,Pakaian,121,410000.00,active
PRD-05721,Diamond Case,Olahraga,752,2271000.00,active
PRD-05722,Mega Device,Elektronik,471,6671000.00,active
PRD-05723,Royal Widget,Peralatan,414,1298000.00,active
PRD-05724,Elite Pack,Minuman,463,20000.00,active
PRD-05725,Max Racket,Pakaian,54,226000.00,active
PRD-05726,Smart Speaker,Olahraga,851,1311000.00,active
PRD-05727,Natural Widget,Elektronik,502,3412000.00,active
PRD-05728,Ultra Keyboard,Minuman,455,8000.00,active
PRD-05729,Classic Mat,Makanan,311,37000.00,active
PRD-09810,Mini Shirt,Olahraga,55,2878000.00,active
PRD-09811,Silver Rice,Minuman,0,12000.00,out_of_stock
PRD-09812,Royal Shirt,Minuman,308,10000.00,active
PRD-09813,Eco Set,Minuman,84,29000.00,active
PRD-09814,Prime Cable,Minuman,828,43000.00,active
PRD-09815,Premium Speaker,Elektronik,802,2865000.00,active
PRD-09816,Ultra Snack,Elektronik,132,4440000.00,active
PRD-09817,Fresh Pack,Peralatan,497,1820000.00,active
PRD-09818,Eco Glove,Makanan,188,38000.00,active
PRD-09819,Royal Monitor,Elektronik,889,4658000.00,active
PRD-01640,Digital Kit,Peralatan,127,1092000.00,active
PRD-01641,Smart Shirt,Peralatan,955,1312000.00,active
PRD-01642,Eco Shirt,Elektronik,146,3801000.00,active
PRD-01643,Pro Device,Peralatan,121,1478000.00,active
PRD-01644,Super Racket,Olahraga,350,1034000.00,discontinued
PRD-01645,Digital Snack,Pakaian,311,479000.00,active
PRD-01646,Pro Jacket,Minuman,143,35000.00,active
PRD-01647,Pro Widget,Elektronik,651,5509000.00,discontinued
PRD-01648,Eco Set,Pakaian,0,435000.00,out_of_stock
PRD-01649,Original Pack,Makanan,331,90000.00,active
PRD-05730,Diamond Mouse,Elektronik,113,3659000.00,active
PRD-05731,Classic Mat,Peralatan,240,1432000.00,active
PRD-05732,Ultra Gadget,Pakaian,594,69000.00,active
PRD-05733,Diamond Mat,Olahraga,0,3201000.00,out_of_stock
PRD-05734,Diamond Rice,Peralatan,890,1128000.00,active
PRD-05735,Natural Racket,Pakaian,681,439000.00,active
PRD-05736,Digital Tube,Olahraga,472,1032000.00,active
PRD-05737,Prime Pack,Pakaian,701,391000.00,active
PRD-05738,Mini Snack,Minuman,452,41000.00,active
PRD-05739,Ultra Case,Olahraga,177,1924000.00,active
PRD-09820,Ultra Kit,Peralatan,840,829000.00,active
PRD-09821,Royal Pants,Olahraga,769,3056000.00,active
PRD-09822,Royal Shirt,Pakaian,682,460000.00,active
PRD-09823,Elite Speaker,Pakaian,398,304000.00,discontinued
PRD-09824,Original Device,Pakaian,962,281000.00,active
PRD-09825,Super Rice,Pakaian,572,313000.00,active
PRD-09826,Pro Box,Elektronik,444,3854000.00,active
PRD-09827,Royal Glove,Makanan,864,97000.00,active
PRD-09828,Eco Gadget,Peralatan,833,973000.00,active
PRD-09829,Max Drink,Elektronik,0,8772000.00,out_of_stock
PRD-01650,Natural Pack,Peralatan,499,932000.00,active
PRD-01651,Royal Cup,Olahraga,196,1875000.00,active
PRD-01652,Natural Racket,Minuman,368,24000.00,active
PRD-01653,Natural Racket,Peralatan,934,1023000.00,active
PRD-01654,Pro Rice,Minuman,0,27000.00,out_of_stock
PRD-01655,Pro Device,Elektronik,32,4677000.00,active
PRD-01656,Silver Shirt,Pakaian,293,154000.00,active
PRD-01657,Classic Racket,Peralatan,3,960000.00,active
PRD-01658,Ultra Pack,Pakaian,780,67000.00,active
PRD-01659,Mega Case,Peralatan,20,1305000.00,active
PRD-05740,Natural Speaker,Elektronik,327,7562000.00,active
PRD-05741,Prime Speaker,Minuman,195,8000.00,active
PRD-05742,Super Case,Makanan,662,25000.00,active
PRD-05743,Mini Pants,Peralatan,871,1181000.00,active
PRD-05744,Original Box,Olahraga,155,991000.00,active
PRD-05745,Golden Jacket,Peralatan,959,903000.00,active
PRD-05746,Diamond Jar,Pakaian,436,436000.00,active
PRD-05747,Ultra Rice,Minuman,551,37000.00,active
PRD-05748,Digital Cup,Makanan,6,38000.00,active
PRD-05749,Prime Ball,Minuman,601,6000.00,active
PRD-09830,Digital Bag,Olahraga,967,2919000.00,active
PRD-09831,Royal Set,Peralatan,61,828000.00,active
PRD-09832,Digital Drink,Makanan,676,43000.00,active
PRD-09833,Mega Box,Elektronik,146,7109000.00,active
PRD-09834,Original Cable,Makanan,149,32000.00,active
PRD-09835,Premium Shirt,Elektronik,573,4984000.00,active
PRD-09836,Ultra Ball,Peralatan,38,604000.00,active
PRD-09837,Mini Drink,Pakaian,0,301000.00,out_of_stock
PRD-09838,Mega Monitor,Peralatan,731,1064000.00,active
PRD-09839,Premium Mat,Olahraga,659,1124000.00,active
PRD-01660,Silver Speaker,Minuman,522,6000.00,active
PRD-01661,Super Bottle,Olahraga,241,2765000.00,active
PRD-01662,Max Set,Minuman,608,41000.00,active
PRD-01663,Original Set,Minuman,927,23000.00,active
PRD-01664,Fresh Box,Olahraga,939,1893000.00,discontinued
PRD-01665,Ultra Box,Pakaian,0,88000.00,out_of_stock
PRD-01666,Diamond Glove,Olahraga,636,1709000.00,active
PRD-01667,Elite Set,Elektronik,511,7055000.00,active
PRD-01668,Natural Charger,Makanan,0,22000.00,out_of_stock
PRD-01669,Royal Pack,Peralatan,499,726000.00,discontinued
PRD-05750,Max Box,Elektronik,924,2063000.00,active
PRD-05751,Digital Charger,Minuman,241,27000.00,active
PRD-05752,Eco Keyboard,Peralatan,484,1044000.00,active
PRD-05753,Silver Widget,Peralatan,571,2046000.00,active
PRD-05754,Mini Device,Pakaian,324,325000.00,active
PRD-05755,Pro Speaker,Olahraga,484,2377000.00,active
PRD-05756,Max Tube,Peralatan,347,1334000.00,active
PRD-05757,Digital Device,Peralatan,263,1561000.00,active
PRD-05758,Golden Mouse,Peralatan,469,1920000.00,active
PRD-05759,Digital Monitor,Pakaian,958,413000.00,active
PRD-09840,Golden Gadget,Minuman,565,19000.00,active
PRD-09841,Golden Speaker,Minuman,313,34000.00,active
PRD-09842,Digital Rice,Peralatan,710,1547000.00,active
PRD-09843,Silver Bottle,Pakaian,711,318000.00,active
PRD-09844,Ultra Tube,Elektronik,0,3318000.00,out_of_stock
PRD-09845,Golden Jar,Minuman,474,5000.00,discontinued
